Member,Cycle,Reporting Date/Period,Response Status,Street Address:,City:,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation? ",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency’s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",April,04/01/2019,completed,307 S. Columbus,Hallock,56728,Kittson,Department of Transportation,Hallock TS,,,,3,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,175,175,175,Yes,,,Yes,,,
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",May,05/01/2019,completed,307 S. Columbus,Hallock,56728,Kittson,Department of Transportation,Hallock TS,,,,3,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,175,175,175,Yes,,,Yes,,,
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",June,06/01/2019,completed,307 S. Columbus,Hallock,56728,Kittson,Department of Transportation,Hallock TS,,,,3,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,175,175,175,Yes,,,Yes,,,
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",July,07/01/2019,completed,307 S. Columbus,Hallock,56728,Kittson,Department of Transportation,Hallock TS,,,,3,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,175,175,175,Yes,,,Yes,,,
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",August,08/01/2019,completed,307 S. Columbus,Hallock,56728,Kittson,Department of Transportation,Hallock TS,,,,3,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,175,175,175,Yes,,,Yes,,,
"R2: Hallock Truck Station - 307 South Colombus Avenue Hallock, MN 56728",September,09/01/2019,completed,307 S. Columbus,Hallock,56728,Kittson,Department of Transportation,Hallock TS,,,,3,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,MarKit Landfill,Weight converted from volume,525,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,175,175,175,Yes,,,Yes,,,
D2: Karlstad Truck Station,January,01/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,February,02/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,March,03/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,April,04/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,May,05/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,June,06/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,July,07/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,August,08/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
D2: Karlstad Truck Station,September,09/01/2019,completed,312 Harding St South,Karlstad,56732,Kittson,Department of Transportation,Karlstad TS,,,"Shop, office",2,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,,,,,MNDOT,,,,MNDOT,,,,,,,,525,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,262.5,262.5,262.5,Yes,,,,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",January,01/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,Actual weight,26,MNDOT,Local recycling container,Actual weight,55,,,,,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actual weight,100,,,,,,,,,,,,,,,,,,,,,,,100,,81,7.16,14.7,246.2,246.2,246.2,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",February,02/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,,,MNDOT,Local recycling container,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,210,210,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",March,03/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,,,MNDOT,Local recycling container,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,210,210,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",April,04/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,,,MNDOT,Local recycling container,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,210,210,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",May,05/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,Actual weight,32,MNDOT,Local recycling container,Actual weight,75,,,,,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,Actual weight,115,,,,,,,,,,,,,,,,MNDOT,Actual weight,220,,,,,335,,107,9.25,29.62,298.4,298.4,298.4,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",June,06/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,,,MNDOT,Local recycling container,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,210,210,210,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",July,07/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,,,MNDOT,Local recycling container,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,210,210,210,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",August,08/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,,,MNDOT,Local recycling container,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,210,210,210,Yes,,,Yes,,,
"D2: Northome Truck Station - 12080 Town Road 299, Northome, MN",September,09/01/2019,completed,12080 Town Rd 299,Northome,56661,Koochiching,Department of Transportation,Northome TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Friends Inc,Int'l Falls Transfer Station,Weight converted from volume,1050,,,,,MNDOT,Local recycling container,Actual weight,32,MNDOT,Local recycling container,Actual weight,75,,,,,1157,,,,,,,,,,,,,,,,,,,,,,MNDOT,Actual weight,7,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,,Actual weight,450,,457,,107,9.25,34.94,322.8,322.8,322.8,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",January,01/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",February,02/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",March,03/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",April,04/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,Actual weight,75,MNDOT,,Actual weight,20,,,,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,Actual weight,850,,,,,,,,,,,,,,,,MNDOT,Actual weight,25,MNDOT,Actual weight,200,,1075,,95,11.95,62.57,311.67,311.67,311.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",May,05/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",June,06/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",July,07/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",August,08/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,Actual weight,75,MNDOT,,Actual weight,50,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,Actual weight,150,,,,,,,,,,,,,,,,MNDOT,Weight converted from volume,350,MNDOT,Actual weight,210,,710,,125,15.15,54.4,255.83,255.83,255.83,Yes,,,Yes,,,
"R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470",September,09/01/2019,completed,505 Industrial Park Rd,Park Rapids,56470,Hubbard,Department of Transportation,Park Rapids TS,,,,6,No,,No,,Joe Leas,218-277-7955,218-277-7957,joel.leas@state.mn.us,Waste Management,Bemidji Waste Management,Weight converted from volume,700,,,,,MNDOT,,,,MNDOT,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,MNDOT,,,MNDOT,,,,,,,,,116.67,116.67,116.67,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",January,01/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,Weight converted from volume,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,0.71,705,705,705,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",February,02/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",March,03/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",April,04/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",May,05/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",June,06/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",July,07/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,4200,,,,,,,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,525,525,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",August,08/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,4200,,,,,,,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,525,525,Yes,,,Yes,,,
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",September,09/01/2019,completed,1190 Center St W,Roseau,56751,Roseau,Department of Transportation,Roseau TS,,,,8,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,4200,,,,,,,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,525,525,Yes,,,Yes,,,
"R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510",January,01/01/2019,completed,248 125th Ave NE,Thief River Falls,56701,Pennington,Department of Transportation,Thief River Falls TS,,,,30,No,,Yes,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Les' Sanitation,MarKit Landfill,Weight converted from volume,8400,,,,,MNDOT,,,,MNDOT,,,,,,,,8400,,,,,,,,,,,,,MNDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
