"","Member","Cycle","Reporting Date/Period","Response Status","Street Address:","City:","Zip Code:","County:","Agency Name","Location Name:","Square footage of space occupied:","Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):","Total Staff:","Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?","Non-Staff Population","Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?","Approximate number of visitors per year:","Contact name:","Phone:","Fax:","Email:","Trash Hauler","Trash Destination","Trash Actual vs Volume","Trash (lbs)","Recycling: Single Stream Hauler","Recycling: Single Stream Destination","Recycling: Single Stream Actual vs Volume","Recycling: Single Stream Actual Weight (in Pounds)","Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)","Organics Hauler","Organics Destination","Organics Actual vs Volume","Organics (lbs)","Total MSW","Aluminum (scrap other than cans) Hauler/Recycler","Aluminum (scrap other than cans) Actual vs Volume","Aluminum (scrap other than cans) Actual Weight (in Pounds)","Anti-freeze Hauler/Recycler","Anti-freeze Actual vs Volume","Anti-freeze Actual Weight (in Pounds)","Auto Oil Hauler/Recycler","Auto Oil Actual vs Volume","Auto Oil Actual Weight (in Pounds)","Batteries: appliance (rechargeable) Hauler/Recycler","Batteries: appliance (rechargeable) Actual vs Volume","Batteries: appliance (rechargeable) Actual Weight (in Pounds)","Batteries: vehicle Hauler/Recycler","Batteries: vehicle Actual vs Volume","Batteries: vehicle Actual Weight (in Pounds)","Construction Material Hauler/Recycler","Construction Material Actual vs Volume","Construction Material Actual Weight (in Pounds)","E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)","Fluorescents Hauler/Recycler","Fluorescents Actual vs Volume","Fluorescents Actual Weight (in Pounds)","Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)","Metal (scrap) Hauler/Recycler","Metal (scrap) Actual vs Volume","Metal (scrap) Actual Weight (in Pounds)","Paint Hauler/Recycler","Paint Actual vs Volume","Paint Actual Weight (in Pounds)","Parts Cleaner Hauler/Recycler","Parts Cleaner Actual vs Volume","Parts Cleaner Actual Weight (in Pounds)","Solvent Hauler/Recycler","Solvent Actual vs Volume","Solvent Actual Weight (in Pounds)","Textiles Hauler/Recycler","Textiles Actual vs Volume","Textiles Actual Weight (in Pounds)","Toner Cartridges Hauler/Recycler","Toner Cartridges Actual vs Volume","Toner Cartridges Actual Weight (in Pounds)","Tires Hauler/Recycler","Tires Actual vs Volume","Tires Actual Weight (in Pounds)","Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)","All Other Actual Weight (in Pounds)","Specialty Waste (lbs)","Please specify materials included in ""All Other"" weight:","Recycling (lbs)","MSW Recycling Rate (%)","Total Recycling Rate (%)","Waste Per Capita (lbs per staff)","Waste Per Capita Including Non-Staff (lbs per staff)","Waste Per Capita (including staff, resident and visitor)","Is your agency location utilizing the state's recycling best practices?","Indicate your agency<U+0092>s timeline for implementing the new program:","Details:","Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?","Indicate your agency's timeline for implementing the Green Meeting Policy:","Details:_1","State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):","Address","Site ID","From Date","To Date","Facility ID","Total Population","Office supply reuse center","Indicate your agency<U+0092>s timeline for implementing the new program:","Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation? ","Staff Population"
"117","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","September","09/01/2019","completed","505 Industrial Park Rd","Park Rapids","56470","Hubbard","DOT","Park Rapids TS","","","","6","No","","No","","Joe Leas","218-277-7955","218-277-7957","joel.leas@state.mn.us","Waste Management","Bemidji Waste Management","Weight converted from volume","700","","","","","MNDOT","","","","MNDOT","","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","MNDOT","","","MNDOT","","","","","","","","","116.67","116.67","116.67","Yes","","","Yes","","","","505 indhwytrial park rd, park rapids","11835","9/1/2019","9/30/2019","11835","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"118","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","January","01/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","5600","","","","","","","","","","","","","","","","","5600","","","","","","","","","","","","","","Weight converted from volume","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","0.71","705","705","705","Yes","","","Yes","","","","1190 center st w, roseau","11836","1/1/2019","1/31/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"119","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","February","02/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","5600","","","","","","","","","","","","","","","","","5600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","Yes","","","Yes","","","","1190 center st w, roseau","11836","2/1/2019","2/28/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"120","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","March","03/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","5600","","","","","","","","","","","","","","","","","5600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","Yes","","","Yes","","","","1190 center st w, roseau","11836","3/1/2019","3/31/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"121","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","April","04/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","5600","","","","","","","","","","","","","","","","","5600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","Yes","","","Yes","","","","1190 center st w, roseau","11836","4/1/2019","4/30/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"122","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","May","05/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","5600","","","","","","","","","","","","","","","","","5600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","Yes","","","Yes","","","","1190 center st w, roseau","11836","5/1/2019","5/31/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"123","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","June","06/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","5600","","","","","","","","","","","","","","","","","5600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","Yes","","","Yes","","","","1190 center st w, roseau","11836","6/1/2019","6/30/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"124","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","July","07/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","4200","","","","","","","","","","","","","","","","","4200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525","525","525","Yes","","","Yes","","","","1190 center st w, roseau","11836","7/1/2019","7/31/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"125","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","August","08/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","4200","","","","","","","","","","","","","","","","","4200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525","525","525","Yes","","","Yes","","","","1190 center st w, roseau","11836","8/1/2019","8/31/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"126","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","September","09/01/2019","completed","1190 Center St W","Roseau","56751","Roseau","DOT","Roseau TS","","","","8","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Roseau","Salo Transfer Station","Weight converted from volume","4200","","","","","","","","","","","","","","","","","4200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525","525","525","Yes","","","Yes","","","","1190 center st w, roseau","11836","9/1/2019","9/30/2019","11836","","Is your agency location utilizing the state's recycling best practices?","","No","8"
"127","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","January","01/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","","","","MNDOT","","","","","","","","8400","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","1/1/2019","1/31/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"128","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","February","02/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","Actual weight","13","MNDOT","TRF City Recycling","Actual weight","65","","","","","8478","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","0.92","0.92","282.6","282.6","282.6","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","2/1/2019","2/28/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"129","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","March","03/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","","","MNDOT","TRF City Recycling","","","","","","","8400","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","3/1/2019","3/31/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"130","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","April","04/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","","","MNDOT","TRF City Recycling","","","","","","","8400","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","4/1/2019","4/30/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"131","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","May","05/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","","","MNDOT","TRF City Recycling","","","","","","","8400","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","5/1/2019","5/31/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"132","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","June","06/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","","","MNDOT","TRF City Recycling","","","","","","","8400","","","","","","","","","","","","","MNDOT","Weight converted from volume","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","0.47","281.33","281.33","281.33","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","6/1/2019","6/30/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"133","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","July","07/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","","","MNDOT","TRF City Recycling","","","","","","","8400","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","Actual weight","14600","","","","","","","","","","","","","","","","","","","","","","","14600","","","","63.48","766.67","766.67","766.67","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","7/1/2019","7/31/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"134","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","August","08/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","Actual weight","19","MNDOT","TRF City Recycling","Actual weight","53","","","","","8472","","","","","","","","","","","","","MNDOT","","","","","","","Actual weight","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","72","0.85","1.32","283.73","283.73","283.73","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","8/1/2019","8/31/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"135","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","September","09/01/2019","completed","248 125th Ave NE","Thief River Falls","56701","Pennington","DOT","Thief River Falls TS","","","","30","No","","Yes","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","Les' Sanitation","MarKit Landfill","Weight converted from volume","8400","","","","","MNDOT","TRF City Recycling","","","MNDOT","TRF City Recycling","","","","","","","8400","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","Yes","","","Yes","","","","248 125th ave ne, thief river falls","11837","9/1/2019","9/30/2019","11837","","Is your agency location utilizing the state's recycling best practices?","","Yes","30"
"136","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","January","01/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","20","MNDOT","","Actual weight","30","","","","","1450","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","Actual weight","415","","","","","","","","","","","","","","","","MNDOT","Actual weight","300","MNDOT","","","","715","","50","3.45","35.33","360.83","360.83","360.83","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","1/1/2019","1/31/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"137","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","February","02/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","","","MNDOT","","","","","","","","1400","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","MNDOT","","","MNDOT","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","2/1/2019","2/28/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"138","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","March","03/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","15","MNDOT","","Actual weight","35","","","","","1450","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","Actual weight","500","","","","","","","","","","","","","","","","MNDOT","","","MNDOT","","","","500","","50","3.45","28.21","325","325","325","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","3/1/2019","3/31/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"139","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","April","04/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","15","MNDOT","","Actual weight","20","","","","","1435","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","","","","","","","","","","","","","","","","","","MNDOT","Actual weight","700","MNDOT","","","","700","","35","2.44","34.43","355.83","355.83","355.83","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","4/1/2019","4/30/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"140","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","May","05/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","","","MNDOT","","Actual weight","30","","","","","1430","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","Actual weight","1000","","","","","","","","","","","","","","","","MNDOT","","","MNDOT","","","","1000","","30","2.1","42.39","405","405","405","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","5/1/2019","5/31/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"141","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","June","06/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","15","MNDOT","","Actual weight","30","","","","","1445","","Actual weight","30","","","","","","","","","","","","","MNDOT","Actual weight","100","","","","","","","","","","MNDOT","Actual weight","400","","","","","","","","","","","","","","","","MNDOT","Actual weight","500","MNDOT","","","","1030","","45","3.11","43.43","412.5","412.5","412.5","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","6/1/2019","6/30/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"142","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","July","07/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","30","MNDOT","","Actual weight","25","","","","","1455","","","","","","","","","","","","","","","","MNDOT","Actual weight","100","","","","","","","","","","MNDOT","Actual weight","200","","","","","","","","","","","","","","","","MNDOT","Actual weight","300","MNDOT","Actual weight","400","","1000","","55","3.78","42.97","409.17","409.17","409.17","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","7/1/2019","7/31/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"143","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","August","08/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","15","MNDOT","","Actual weight","50","","","","","1465","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","Actual weight","200","","","","","","","","","","","","","","","","MNDOT","Actual weight","500","MNDOT","Weight converted from volume","300","","1000","","65","4.44","43.2","410.83","410.83","410.83","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","8/1/2019","8/31/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"144","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","September","09/01/2019","completed","8005 Sautbine Rd NW","Walker","56484","Cass","DOT","Walker TS","","","","6","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City Sanitation","Pine River Transfer Station","Weight converted from volume","1400","","","","","MNDOT","","Actual weight","30","MNDOT","","Actual weight","40","","","","","1470","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","MNDOT","Actual weight","600","","","","","","","","","","","","","","","","MNDOT","Actual weight","400","MNDOT","Actual weight","1000","","2000","","70","4.76","59.65","578.33","578.33","578.33","Yes","","","Yes","","","","8005 sautbine rd nw, walker","11838","9/1/2019","9/30/2019","11838","","Is your agency location utilizing the state's recycling best practices?","","No","6"
"145","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","January","01/01/2019","completed","417 S Main","Warren","56762","Marshall","DOT","Warren TS","","","","3","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Warren","MarKit Landfill","Weight converted from volume","700","","","","","MNDOT","Local recycling container","","","MNDOT","Local recycling container","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","417 s main, warren","11839","1/1/2019","1/31/2019","11839","","Is your agency location utilizing the state's recycling best practices?","","No","3"
"146","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","February","02/01/2019","completed","417 S Main","Warren","56762","Marshall","DOT","Warren TS","","","","3","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Warren","MarKit Landfill","Weight converted from volume","700","","","","","MNDOT","Local recycling container","","","MNDOT","Local recycling container","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","417 s main, warren","11839","2/1/2019","2/28/2019","11839","","Is your agency location utilizing the state's recycling best practices?","","No","3"
"147","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","March","03/01/2019","completed","417 S Main","Warren","56762","Marshall","DOT","Warren TS","","","","3","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Warren","MarKit Landfill","Weight converted from volume","700","","","","","MNDOT","Local recycling container","","","MNDOT","Local recycling container","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","417 s main, warren","11839","3/1/2019","3/31/2019","11839","","Is your agency location utilizing the state's recycling best practices?","","No","3"
"148","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","April","04/01/2019","completed","417 S Main","Warren","56762","Marshall","DOT","Warren TS","","","","3","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Warren","MarKit Landfill","Weight converted from volume","700","","","","","MNDOT","Local recycling container","","","MNDOT","Local recycling container","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","417 s main, warren","11839","4/1/2019","4/30/2019","11839","","Is your agency location utilizing the state's recycling best practices?","","No","3"
"149","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","May","05/01/2019","completed","417 S Main","Warren","56762","Marshall","DOT","Warren TS","","","","3","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Warren","MarKit Landfill","Weight converted from volume","700","","","","","MNDOT","Local recycling container","","","MNDOT","Local recycling container","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","417 s main, warren","11839","5/1/2019","5/31/2019","11839","","Is your agency location utilizing the state's recycling best practices?","","No","3"
"150","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","June","06/01/2019","completed","417 S Main","Warren","56762","Marshall","DOT","Warren TS","","","","3","No","","No","","Joe Leas","218-277-7956","218-277-7957","joel.leas@state.mn.us","City of Warren","MarKit Landfill","Weight converted from volume","700","","","","","MNDOT","Local recycling container","","","MNDOT","Local recycling container","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MNDOT","","","","","","","","","","","","233.33","233.33","233.33","Yes","","","Yes","","","","417 s main, warren","11839","6/1/2019","6/30/2019","11839","","Is your agency location utilizing the state's recycling best practices?","","No","3"
