Member,Street Address:,City:,Address.x,Address.y,Site Name,Site ID,distance,Agency,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency<U+0092>s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:_1,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R7W: Luverne Truck Station - 301 W Koehn Avenue Luverne, MN 56101",301 W Koehn Ave,Luverne,"301 w koehn ave, luverne","301 w koehn ave, luverne","SITE, D7W, TRUCK STATION, LUVERNE",12041,0,DOT,56101,Rock,Department of Transportation,Luverne,10563,10563,Maint Shop,7,No,NA,No,NA,Randy Potts,507-283-5086,NA,NA,Ketterling Services,NA,Weight converted from volume,4200,Ketterling Services,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,16.07,16.07,714.86,714.86,714.86,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7W: Windom Headquarters - 180 County Road 26 Windom, MN 56101",180 County Rd 26,Windom,"180 co rd 26, windom","180 co rd 26, windom","SITE, D7W, HEADQUARTERS, WINDOM",12027,0,DOT,56101,Cottonwood,Department of Transportation,Windom,52128,52128,Office/Maint Shop,40,No,NA,Yes,504,Andrew Bedbury,507-831-8000,NA,NA,Waste Management,NA,Weight converted from volume,16800,County,NA,Weight converted from volume,3336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20136,Pooley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advance,Weight converted from volume,477,NA,NA,NA,NA,NA,NA,Green Lights Recycling,Weight converted from volume,20,NA,NA,NA,Pooley,Actual weight,73400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Innovative,Weight converted from volume,24.5,NA,NA,NA,NA,NA,NA,NA,73921.5,NA,3336,16.57,82.14,2351.44,2351.44,172.9,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R7W: Worthington Truck Station - 1475 Spring Avenue Worthington, MN 56187",1475 Spring Ave,Worthington,"1475 spring ave, worthington","1475 spring ave, worthington","SITE, D7W, TRUCK STATION, WORTHINGTON",12046,0,DOT,56187,Nobles,Department of Transportation,Worthington,14282,14282,Maint Shop,9,No,NA,No,NA,Randy Potts,507-376-9481,NA,NA,Schaap Sanitation,NA,Weight converted from volume,8400,Schaap Sanitation,NA,Weight converted from volume,804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,8.74,8.74,1022.67,1022.67,1022.67,Yes,NA,NA,No,NA,NA,"Office supply reuse center
 Default to double-sided (duplex) printing"
"R8: Glencoe Truck Station - 310 13th St W Glencoe, MN 55336",310 13th St W,Glencoe,"310 13th st w, glencoe","310 13th st w, glencoe","SITE, D8A, TRUCK STATION, GLENCOE",12055,0,DOT,55336,McLeod,Department of Transportation,Glencoe,1000,14730,office and maint. activities,5,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,Waste Management,NA,Actual weight,8400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680,1680,1680,Yes,NA,NA,Yes,NA,NA,NA
"R8: Granite Falls Truck Station - 5530 Hwy 67 Granite Falls, MN 56241",5530 Hwy 67,Granite Falls,"5530 hwy 67, granite falls","5530 hwy 67, granite falls","SITE, D8A, TRUCK STATION, GRANITE FALLS",12056,0,DOT,56241,Yellow Medicine,Department of Transportation,Granite Falls,600,8904,office and maint activities,7,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,West Central Sanitation,NA,Weight converted from volume,6300,West Central Sanitation,NA,NA,NA,West Central Sanitation,NA,Actual weight,30,NA,NA,Actual weight,30,NA,NA,NA,NA,6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0.94,0.94,908.57,908.57,908.57,Yes,NA,NA,Yes,NA,NA,NA
"R8: Ivanhoe Truck Station - 513 West Division Ivanhoe, MN 56142",513 W Division,Ivanhoe,"513 w division, ivanhoe","513 w division, ivanhoe","SITE, D8A, TRUCK STATION, IVANHOE",12058,0,DOT,56142,Lincoln,Department of Transportation,Ivanhoe,400,4624,office and maint activities,2,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,City of Ivanhoe,NA,N/A,NA,City of Ivanhoe,NA,N/A,NA,City of Ivanhoe,NA,N/A,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,City of Ivanhoe takes care of trash and recyclables.,NA
"R8: Litchfield Truck Station - 422 S Johnson Drive Litchfield, MN 55355",422 S Johnson Drive,Litchfield,"422 s johnson dr, litchfield","422 s johnson dr, litchfield","SITE, D8A, TRUCK STATION, LITCHFIELD",12060,0,DOT,55355,Meeker,Department of Transportation,Litchfield,1200,25592,office and maint. activities,6,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,Meeker County,NA,Actual weight,9450,Meeker County,NA,NA,82,Meeker County,NA,Actual weight,136,NA,NA,NA,136,NA,NA,NA,NA,9804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,3.61,3.61,1634,1634,1634,Yes,NA,NA,Yes,NA,NA,NA
"R8: Marshall Headquarters - 1800 East College Drive Marshall, MN 56258",1800 East College Drive,Marshall,"1800 e college dr, marshall","1800 e college dr, marshall","SITE, D8A, HEADQUARTERS, MARSHALL",12048,0,DOT,56258,Lyon,Department of Transportation,Marshall,16000,59300,office and maint activities. Shop.,37,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,Waste Management,NA,Weight converted from volume,12600,Waste Management,NA,NA,NA,Waste Management,NA,NA,NA,NA,NA,Weight converted from volume,3000,NA,NA,NA,NA,15600,NA,NA,NA,NA,Weight converted from volume,1150,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,1773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,35500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,280,NA,NA,21000,NA,NA,NA,NA,59703,NA,3000,19.23,83.27,2035.22,2035.22,2035.22,Yes,NA,NA,Yes,NA,NA,NA
"R8: Redwood Falls Truck Station - 217 Quality Drive Redwood Falls, MN 56283",217 Quality Drive,Redwood Falls,"217 quality dr, redwood falls","217 quality dr, redwood falls","SITE, D8A, TRUCK STATION, REDWOOD FALLS",12066,0,DOT,56283,Redwood,Investment Board,Redwood Falls,400,4704,office and maint. activities,5,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,Waste Management,Renville Recycling Center,Actual weight,12600,Waste Management,Renville Recycling Center,NA,NA,Waste Management,Renville Recycling Center,NA,NA,NA,NA,Actual weight,181,NA,NA,NA,NA,12781,NA,Actual weight,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,181,1.42,1.54,2559.4,2559.4,2559.4,Yes,NA,NA,Yes,NA,NA,NA
"R8: Slayton Truck Station - 891 US Hwy 59 Slayton, MN 56172",891 US Hwy 59,Slayton,"891 hwy hwy 59, slayton","891 hwy hwy 59, slayton","SITE, D8A, TRUCK STATION, SLAYTON",12067,0,DOT,56172,Murray,Department of Transportation,Slayton,400,4086,office and maint activities,3,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,Schaap Sanitation,NA,Weight converted from volume,4200,Schaap Sanitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,1400,1400,Yes,NA,NA,Yes,NA,NA,NA
"R8: Willmar Headquarters - 2505 Transportation Road Willmar, MN 56201",2505 Transportation Road,Willmar,"2505 transportation rd, willmar","2505 transportation rd, willmar","SITE, D8A, HEADQUARTERS, WILLMAR",12049,0,DOT,56201,Kandiyohi,Department of Transportation,Willmar,40000,103000,offices maint. and shop,100,No,NA,No,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,West Central Sanitation,NA,Weight converted from volume,44800,West Central Sanitation,NA,NA,NA,West Central Sanitation,NA,Actual weight,1290,NA,NA,Actual weight,4388,NA,NA,NA,NA,50478,NA,NA,NA,NA,Weight converted from volume,385,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,1720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,132475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,175,NA,Weight converted from volume,6000,NA,NA,NA,NA,140755,NA,5678,11.25,76.57,1912.33,1912.33,1912.33,Yes,NA,NA,Yes,NA,NA,NA
"Metro: AnokaTruck Station - 3601 7th Avenue N Anoka, MN 55303",3601 7th Avenue North,Anoka,"3601 7th ave n, anoka","3601 7th ave n, anoka","SITE, D5W, TRUCK STATION, ANOKA",11943,0,DOT,55303,Anoka,Department of Transportation,Anoka Truck Station,NA,NA,NA,15,No,NA,No,0,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,62200,Republic Services,NA,Actual weight,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,6.04,6.04,4413.33,4413.33,4413.33,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Arden Hills Truck Station - 1905 W County Rd I Arden Hills, MN 55126",1905 West County Rd I,Arden Hills,"1905 w co rd i, arden hills","1905 w co rd i, arden hills","SITE, D5E, TRUCK STATION, ARDEN HILLS",11921,0,DOT,55112,Ramsey,Department of Transportation,Arden Hills Truck Station,NA,NA,Garage,20,No,NA,No,0,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,53540,Republic Services,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101540,NA,NA,NA,NA,NA,NA,NA,Actual weight,13685,NA,NA,NA,NA,Actual weight,520,NA,NA,NA,NA,NA,NA,NA,Actual weight,58.5,NA,NA,NA,NA,NA,NA,NA,Actual weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14263.5,NA,48000,47.27,53.77,5790.18,5790.18,5790.18,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"R3A: Motley Truck Station - 149 River Front Lane Motley, MN 56466",149 Riverfront Ln,Motley,"149 riverfront ln, motley","149 river front ln, motley","SITE, D3A, TRUCK STATION, MOTLEY",11851,0,DOT,MN,NA,Department of Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waste Management,NA,Actual weight,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8: Olivia Truck Station - 1509 W Lincoln Ave Olivia, MN 56277",1509 W Lincoln Ave,Olivia,"1509 w lincoln ave, olivia","910 w lincoln ave, olivia",Olivia TACC,12064,F,DMA,56277,Renville,Department of Transportation,Olivia,500,6281,office and maint activities,4,No,NA,No,NA,Gary Grahn,320-214-6340,320-21406307,gary.grahn@state.mn.us,West Central Sanitation,NA,Actual weight,12600,West Central Sanitation,NA,NA,NA,West Central Sanitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,NA,NA,NA,8.03,3425,3425,3425,Yes,NA,NA,Yes,NA,NA,NA
"Metro: Oakdale Sign Shop - 3485 Hadley Avenue North Oakdale, MN 55128",3485 Hadley Ave E,Oakdale,"3485 hadley ave e, oakdale","3485 hadley ave, oakdale","SITE, D10, OAKDALE CENTRAL SIGN SHOP",12230,0,DOT,55128,Ramsey,Department of Transportation,Oakdale Sign Shop,NA,NA,NA,NA,NA,NA,NA,NA,Maureen Widmer,651-234-7735,NA,maureen.widmer@state.mn.us,Waste Management,NA,Actual weight,NA,NA,NA,NA,NA,NA,NA,Actual weight,192000,NA,NA,NA,NA,NA,NA,NA,NA,192000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192000,100,100,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510",248 125th Ave NE,Thief River Falls,"248 125th ave ne, thief river falls","246 125th ave ne, thief river falls",Cold Storage R2900108430,11837,F,DNR,56701,Pennington,Department of Transportation,Thief River Falls TS,NA,NA,NA,30,No,NA,Yes,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Les' Sanitation,MarKit Landfill,Weight converted from volume,8400,NA,NA,NA,NA,MNDOT,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,8400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,280,280,Yes,NA,NA,Yes,NA,NA,NA
"R4: Glenwood Truck Station - 70 MN Hwy 55 Glenwood, MN 56334",70 Hwy 55 North,Glenwood,"70 hwy 55 n, glenwood","70 mn hwy 55, glenwood","SITE, D4A, TRUCK STATION, GLENWOOD",11906,0,DOT,56334,Pope,Department of Transportation,Glenwood,5676,5676,Office/Maintenance Shop,5,No,NA,No,NA,NA,NA,NA,NA,West Central Sanitation,NA,Actual weight,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Metal,Actual weight,5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5800,NA,NA,NA,89.23,1300,1300,1300,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R8: Lake Benton Truck Station - 308 W Benton St., Lake Benton, MN",308 w benton st,Lake Benton,"308 w benton st, lake benton","308 w benton, lake benton","SITE, D8A, TRUCK STATION, LAKE BENTON",12059,0,DOT,NA,Lincoln,Department of Transportation,Lake Benton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waste Management,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Building is not occupied.,NA
"R4: Mahnomen Truck Station - 311 East Jefferson Mahnomen, MN 56557",311 East Jefferson Ave,Mahnomen,"311 e jefferson ave, mahnomen","311 e jefferson, mahnomen","SITE, D4A, TRUCK STATION, MAHNOMEN",11909,0,DOT,56557,Mahnomen,Department of Transportation,Mahnomen,5568,5568,Maintenance Shop,4,No,NA,No,NA,NA,NA,NA,NA,White Earth Sanitation,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,175,175,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R8: Tracy Truck Station - 1040 4th St E Tracy, MN 56175",1040 4th St E,Tracy,"1040 4th st e, tracy","1040   4th st e, tracy","SITE, D8A, TRUCK STATION, TRACY",12068,0,DOT,56175,Lyon,Department of Transportation,Tracy,400,3944,office and maint activities,3,Yes,NA,Yes,NA,Gary Grahn,320-214-6340,320-214-6307,gary.grahn@state.mn.us,Waste Management,NA,Weight converted from volume,3150,Waste Management,NA,NA,NA,Waste Management,NA,Actual weight,40,NA,NA,Actual weight,80,NA,NA,NA,NA,3270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,3.67,3.67,1090,1090,1090,Yes,NA,NA,Yes,NA,NA,NA
"R2: Crookston Maintenance Headquarters - 1320 Sunflower Crookston, MN 56716",1320 Sunflower St,Crookston,"1320 sunflower st, crookston","1320 sunflower, crookston","SITE, D2B, HEADQUARTERS, CROOKSTON",11810,0,DOT,56716,Polk,Department of Transportation,Crookston HQ,NA,NA,NA,27,No,NA,Yes,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Regional Sanitation,Polk County Transfer Station,Weight converted from volume,5600,NA,NA,NA,NA,MNDOT,Polk County Transfer Station,Actual weight,12,MNDOT,Polk County Transfer Station,Actual weight,160,NA,NA,NA,NA,5772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,2.98,2.98,213.78,213.78,213.78,Yes,NA,NA,Yes,NA,NA,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies"
"R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619",3920 US Hwy 2,Bemidji,"3920 hwy hwy 2, bemidji","3920 hwy 2 w, bemidji","SITE, D2A, HEADQUARTERS, BEMIDJI",11809,0,DOT,56601,NA,Department of Transportation,D2 BEMIDJI HQS,NA,NA,OFFICE/TRUCK STATION,130,No,0,Yes,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,WASTE MGMT,BEMIDJI WASTE MGMT,Weight converted from volume,8400,NA,NA,NA,NA,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,14,WASTE MGMT,BEMIDJI WASTE MGMT,Actual weight,2220,NA,NA,NA,NA,10634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vendor,Weight converted from volume,353,NA,NA,NA,NA,NA,NA,Green Lights,Actual weight,1241,NA,NA,NA,Lyle's Salvage,Actual weight,14520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16114,NA,2234,21.01,68.6,205.75,205.75,205.75,Yes,NA,NA,NA,NA,NA,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Partner with State Surplus for redistributing unneeded supplies"
